META,Date,Close
META,11/25/2016 16:00:00,120.38
META,11/28/2016 16:00:00,120.41
META,11/29/2016 16:00:00,120.87
META,11/30/2016 16:00:00,118.42
META,12/1/2016 16:00:00,115.1
META,12/2/2016 16:00:00,115.4
META,12/5/2016 16:00:00,117.43
META,12/6/2016 16:00:00,117.31
META,12/7/2016 16:00:00,117.95
META,12/8/2016 16:00:00,118.91
META,12/9/2016 16:00:00,119.68
META,12/12/2016 16:00:00,117.77
META,12/13/2016 16:00:00,120.31
META,12/14/2016 16:00:00,120.21
META,12/15/2016 16:00:00,120.57
META,12/16/2016 16:00:00,119.87
META,12/19/2016 16:00:00,119.24
META,12/20/2016 16:00:00,119.09
META,12/21/2016 16:00:00,119.04
META,12/22/2016 16:00:00,117.4
META,12/23/2016 16:00:00,117.27
META,12/27/2016 16:00:00,118.01
META,12/28/2016 16:00:00,116.92
META,12/29/2016 16:00:00,116.35
META,12/30/2016 16:00:00,115.05
,1/3/2017 16:00:00,116.86
,1/4/2017 16:00:00,118.69
,1/5/2017 16:00:00,120.67
,1/6/2017 16:00:00,123.41
,1/9/2017 16:00:00,124.9
,1/10/2017 16:00:00,124.35
,1/11/2017 16:00:00,126.09
,1/12/2017 16:00:00,126.62
,1/13/2017 16:00:00,128.34
,1/17/2017 16:00:00,127.87
,1/18/2017 16:00:00,127.92
,1/19/2017 16:00:00,127.55
,1/20/2017 16:00:00,127.04
,1/23/2017 16:00:00,128.93
,1/24/2017 16:00:00,129.37
,1/25/2017 16:00:00,131.48
,1/26/2017 16:00:00,132.78
,1/27/2017 16:00:00,132.18
,1/30/2017 16:00:00,130.98
,1/31/2017 16:00:00,130.32
,2/1/2017 16:00:00,133.23
,2/2/2017 16:00:00,130.84
,2/3/2017 16:00:00,130.98
,2/6/2017 16:00:00,132.06
,2/7/2017 16:00:00,131.84
,2/8/2017 16:00:00,134.2
,2/9/2017 16:00:00,134.14
,2/10/2017 16:00:00,134.19
,2/13/2017 16:00:00,134.05
,2/14/2017 16:00:00,133.85
,2/15/2017 16:00:00,133.44
,2/16/2017 16:00:00,133.84
,2/17/2017 16:00:00,133.53
,2/21/2017 16:00:00,133.72
,2/22/2017 16:00:00,136.12
,2/23/2017 16:00:00,135.36
,2/24/2017 16:00:00,135.44
,2/27/2017 16:00:00,136.41
,2/28/2017 16:00:00,135.54
,3/1/2017 16:00:00,137.42
,3/2/2017 16:00:00,136.76
,3/3/2017 16:00:00,137.17
,3/6/2017 16:00:00,137.42
,3/7/2017 16:00:00,137.3
,3/8/2017 16:00:00,137.72
,3/9/2017 16:00:00,138.24
,3/10/2017 16:00:00,138.79
,3/13/2017 16:00:00,139.6
,3/14/2017 16:00:00,139.32
,3/15/2017 16:00:00,139.72
,3/16/2017 16:00:00,139.99
,3/17/2017 16:00:00,139.84
,3/20/2017 16:00:00,139.94
,3/21/2017 16:00:00,138.51
,3/22/2017 16:00:00,139.59
,3/23/2017 16:00:00,139.53
,3/24/2017 16:00:00,140.34
